,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9619686800894854,0.5679611650485437,0.9,0.6964285714285714,0.9886755485893416
Naive Bayes,0.9384787472035794,0.3076923076923077,0.2153846153846154,0.25339366515837103,0.7737129250060284
Decision Tree,0.9656972408650261,0.6376811594202898,0.676923076923077,0.6567164179104478,0.8286653002170243
Random Forest,0.9809843400447428,0.9876543209876543,0.6153846153846154,0.7582938388625592,0.9916882686279238
LightGBM,0.9899328859060402,0.905511811023622,0.8846153846153846,0.8949416342412452,0.9941855558234868
XGBoost,0.9865771812080537,0.8983050847457628,0.8153846153846154,0.8548387096774194,0.9905413551965276
